work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category
2020,MI,FT,Data Scientist,70000,EUR,DE,0,On-site only,DE,L,Data Science
2020,SE,FT,Machine Learning Scientist,260000,USD,JP,0,On-site only,JP,S,Machine Learning
2020,SE,FT,Big Data Engineer,85000,GBP,GB,50,Hybrid,UK,M,Data Engineering
2020,MI,FT,Product Data Analyst,20000,USD,HN,0,On-site only,HN,S,Data Analyst
2020,SE,FT,Machine Learning Engineer,150000,USD,US,50,Hybrid,US,L,Machine Learning
2020,EN,FT,Data Analyst,72000,USD,US,100,Fully remote,US,L,Data Analyst
2020,SE,FT,Lead Data Scientist,190000,USD,US,100,Fully remote,US,S,Data Science
2020,MI,FT,Data Scientist,11000000,HUF,HU,50,Hybrid,HU,L,Data Science
2020,MI,FT,Business Data Analyst,135000,USD,US,100,Fully remote,US,L,Data Analyst
2020,SE,FT,Lead Data Engineer,125000,USD,NZ,50,Hybrid,NZ,S,Data Engineering
2020,EN,FT,Data Scientist,45000,EUR,FR,0,On-site only,FR,S,Data Science
2020,MI,FT,Data Scientist,3000000,INR,IN,0,On-site only,IN,L,Data Science
2020,EN,FT,Data Scientist,35000,EUR,FR,0,On-site only,FR,M,Data Science
2020,MI,FT,Lead Data Analyst,87000,USD,US,100,Fully remote,US,L,Data Analyst
2020,MI,FT,Data Analyst,85000,USD,US,100,Fully remote,US,L,Data Analyst
2020,MI,FT,Data Analyst,8000,USD,PK,50,Hybrid,PK,L,Data Analyst
2020,EN,FT,Data Engineer,4450000,JPY,JP,100,Fully remote,JP,S,Data Engineering
2020,SE,FT,Big Data Engineer,100000,EUR,PL,100,Fully remote,UK,S,Data Engineering
2020,EN,FT,Data Science Consultant,423000,INR,IN,50,Hybrid,IN,M,Data Science
2020,MI,FT,Lead Data Engineer,,USD,PT,100,Fully remote,US,M,Data Engineering
